# Red de computadoras de la UNSA (ejemplo reducido, 10 nodos)
# Nodos representan switches/routers: 0..9
# La primera línea indica el número de nodos.
10
# Enlaces: u v peso  (peso ~ latencia/criterio simple)
0 1 4   # Switch principal - Aula A
0 2 2   # Switch principal - Aula B
1 2 1   # Conexión redundante entre A y B
1 3 7   # Aula A - Laboratorio 1
2 4 3   # Aula B - Laboratorio 2
3 4 2   # Laboratorio 1 - Laboratorio 2
3 5 5   # Laboratorio 1 - Servidor local
4 6 8   # Laboratorio 2 - Nodo de archivo
5 6 1   # Servidor local - Nodo de archivo
6 7 4   # Nodo archivo - Sala de control
7 8 6   # Sala control - Sala examen
7 9 2   # Sala control - Oficina administración
8 9 3   # Sala examen - Oficina administración
